UT,英文姓名,中文姓名,作者顺序
000792483600011,Gu, Xiaoyan,顾晓燕,5
000642902300001,Qian, Xinjie,钱欣洁,1
000542654800003,Huang, Donghui,黄冬辉,3
000542654800003,Chen, Yuzhi,陈育志,4
000410253800063,Hu, Xiaohong,胡小红,9
000397368700006,Feng, Mei-qin,冯美琴,2
000391727400005,Song, Yong-sheng,宋永生,1
000280897500010,Liu, P.,刘平,1
000261643700049,Chen, Ling,陈凌,1
001654134400001,Liu, Huan,刘欢,1
001522987400019,Wang, Fengfeng,王锋锋,1
001502489300002,Wang, Lingling,王玲玲,1
001502489300002,Zhu, Min,朱敏,2
001502489300002,Wang, Xuedao,王雪道,3
001503164500001,Hua, Liwei,,1
000877975900001,Yan, Xinyun,颜新云,4
000573567500001,Wang, Chunmeng,王春萌,1
000455854000050,Zhang, Zili,张子立,4
000444080200027,Lin, Qing,林青,6
000417483400027,Deng, Kaidong,邓凯东,3
000332795200004,Hu, Xiaohong,胡小红,1
000332795200004,Chen, Xiuxia,,2
000332795200004,Zhang, Yuansheng,,5
000332795200004,Pan, Chengbin,,6
001698878700001,Wang, Jianquan,王建全,4
001341581100001,Jiang, Haotian,姜昊天,1
001341581100001,Cao, Jingjing,,3
001231785600001,Dai, Qian,代倩,9
000720801600003,Zhao, Yijie,赵毅杰,7
000489225700029,Li, Hui,李慧,1
000434259900003,Fang, Xuming,方旭明,1
000434268000025,Tao, Yuting,陶玉婷,1
000434268000025,Gui, Wenming,桂文明,3
000396222400001,Zuo, Xi,左熹,3
000287739200004,Zhang, Xiaojuan,张小娟,1
000287739200004,Ye, Yuanfeng,叶原丰,3
000287739200004,Feng, Zhiqiang,冯志强,4
000287739200004,Hao, Lingyun,郝凌云,7
001728206600001,Sun, Luanhong,孙孪鸿,8
